Eggs Any Style Specialty,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxleHBsb3JlLWZlZWR8MXx8fGVufDB8fHx8&w=1000&q=100,Served With Choice Of Toast And Side,$7.19 ,Egg Specialties
Tex Mex Breakfast Specialty,https://www.tasteofhome.com/wp-content/uploads/2021/09/THJJ21_PU5312_B02_10_1bC_tex-mex_Taste-of-Home.jpg,Quesadilla Stuffed With Eggs Jalapenos Sausage And Cheddar Cheese Served With Guacamole And Home Fries,$12.79 ,Egg Specialties
Greek Breakfast Specialty,https://www.lemonandvine.com/wp-content/uploads/2018/10/Yogurt-with-Honey-and-Fresh-Fruit.jpg,0 Eggs Any Style Grilled Tomatoes Feta Cheese Olives And Toasted Pita Bread Drizzled With Olive Oil,$10.49 ,Egg Specialties
Eggs Benedict Specialty,https://www.dianekochilas.com/wp-content/uploads/2021/05/eggs-benedict-feta-hollandiase.jpg,0 Poached Eggs Served Over Canadian Bacon Toasted English Muffin And Topped With Hollandaise Sauce Choice Of Side,$11.59 ,Egg Specialties
Steak And Eggs Specialty,https://www.heinens.com/wp-content/uploads/2020/12/Steak-and-Eggs-with-a-Potato-Waffle_800x550.jpg,Your Choice Of Steak Served With 0 Eggs And Home Fries Served With Choice Of Roast And Side,$22.59 ,Egg Specialties
Breakfast Burrito,https://www.onceuponachef.com/images/2018/03/Breakfast-Burritos.jpg,Stuffed With Rice Black Beans Avocado Tomatoes Cheddar Cheese Cilantro And Jalapenos Served With Sour Cream,$14.79 ,Egg Specialties
Keto Breakfast Platter,https://i0.wp.com/fitchoicefoods.com/wp-content/uploads/2018/03/keto-breakfast.jpg?fit=1080%2C703&ssl=1,Scrambled Eggs Mixed With Cream Cheese Served With Bacon And Fresh Spinach On The Side Gluten Free,$12.99 ,Egg Specialties
Hash And Eggs,https://cdn.mos.cms.futurecdn.net/hbZxg482hJeCeuWxp9VWRQ.jpg,Eggs Any Style Over Corned Beef Hash Served With Choice Of Toast And Side,$11.59 ,Egg Specialties
Eggs Florentine,https://leitesculinaria.com/wp-content/uploads/2021/08/eggs-florentine.jpg,Poached Eggs Over Spinach Pie Filling On Toasted English With Hollandaise Sauce Choice Of Side,$11.59 ,Egg Specialties
Bacon And Egg Sandwich,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2013/2/14/0/FNK_Maple-Bacon-Grilled-Cheese_s4x3.jpg.rend.hgtvcom.616.462.suffix/1382542424660.jpeg,Eggs With Bacon On A Roll Don T Forget The Cheese,$5.29 ,Breakfast Sandwiches
Eggs Breakfast Wrap,https://media.eggs.ca/assets/RecipePhotos/_resampled/FillWyIxMjgwIiwiNzIwIl0/Kale-and-Egg-Wrap-CMS.jpg,First # Ingredients Of Your Choice Are On Us Spicy,$11.59 ,Breakfast Sandwiches
Classic Monte Cristo,"https://cdn.apartmenttherapy.info/image/upload/f_jpg,q_auto:eco,c_fill,g_auto,w_1500,ar_4:3/k%2FPhoto%2FRecipes%2F2019-07-how-to-monte-cristo-sandwich%2F190625-the-kitchn-christine-han-photography-116",Grilled Ham Warm Turkey Melted Swiss Cheese Served Open Faced On Challah Bread,$12.59 ,Breakfast Sandwiches
California Tofu Breakfast,https://thecarrotunderground.com/wp-content/uploads/2022/10/vegan-california-breakfast-burritos-plated-9.jpg,Grilled Tofu Baby Spinach Sliced Tomato And Guacamole Served On A Brioche Bun,$10.49 ,Breakfast Sandwiches
Not Your Average Breakfast Sammy,https://www.readyseteat.com/sites/g/files/qyyrlu501/files/uploadedImages/img_10234_58173.jpg,Fried Prosciutto Muenster 0 Eggs And Buttery Brioche,$8.39 ,Breakfast Sandwiches
Western Sandwich,https://m1.quebecormedia.com/emp/cl_prod/canadian_living-_-592538937a7d359005f97bc804828d017d117e6e-_-classic-toasted-western-sandwiches.jpg,# Eggs Mixed With Ham Peppers And Onions,$5.29 ,Breakfast Sandwiches
Fried Egg Sandwich,https://www.smalltownwoman.com/wp-content/uploads/2019/02/Egg-Sandwich-DSC_1026-Recipe-Card-1.jpg,# Eggs On A Roll,$4.19 ,Breakfast Sandwiches
Loaded Breakfast Sandwich,https://i.pinimg.com/736x/95/a4/a2/95a4a2763cb5defd618a3b4d2cbd1f2f--jack-in-the-box-breakfast-sandwiches.jpg,# Eggs Bacon Ham Sausage Mozzarella And American Cheese Served On A Roll,$8.39 ,Breakfast Sandwiches
Pancake Sandwich,https://images-gmi-pmc.edge-generalmills.com/e018f03e-0965-4c5b-b2c4-21e846f81404.jpg,Short Stack Of Pancakes Stuffed With 0 Eggs Peppers Onions Bacon And American Cheese,$10.49 ,Breakfast Sandwiches
Pancakes,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fassets.marthastewart.com%2Fstyles%2Fwmax-750%2Fd30%2Feasy-basic-pancakes-horiz-1022%2Feasy-basic-pancakes-horiz-1022_0.jpg%3Fitok%3DXQMZkp_j,# Homemade Pancakes Served With Warm Syrup,$9.49 ,Pancakes
Short Stack Pancakes,https://triangleonthecheap.com/wordpress/wp-content/uploads/2022/02/ihop-pancakes-short-stack.jpeg,# Homemade Pancakes Served With Warm Syrup,$7.49 ,Pancakes
Red Velvet Pancakes,https://images-gmi-pmc.edge-generalmills.com/89aa5703-df4e-4358-ae1f-91023b7e7ac9.jpg,Red Velvet Pancakes Topped With Cream Cheese Frosting,$13.69 ,Pancakes
Silver Dollar Pancakes,https://images-gmi-pmc.edge-generalmills.com/dec2f7ae-5463-45a6-810e-26eccbbfe662.jpg,Same Delicious Batter But Bite Sized,$10.49 ,Pancakes
Smore Pancakes,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2018/10/17/KC1813_Smores-Pancake_s4x3.jpg.rend.hgtvcom.616.462.suffix/1539786654303.jpeg,Stuffed With Chocolate Chips Graham Crackers And Marshmallows,$11.89 ,Pancakes
Healthy Fruity Whole Grain Pancakes,https://images-gmi-pmc.edge-generalmills.com/e400553b-4bdc-4a83-89d2-2573db74765c.jpg,Whole Wheat Banana Pancakes Topped With Fruit Salad,$13.79 ,Pancakes
Gluten Free Pancakes,https://www.noshtastic.com/wp-content/uploads/2015/04/gluten-free-pancake-horizontal-1-of-1.jpg,Made With A Better Of Banana Oatmeal And Egg Topped With Fresh Berries,$13.79 ,Pancakes
Homemade Waffle,https://bakingamoment.com/wp-content/uploads/2018/07/IMG_9113-best-waffle-recipe-square.jpg,Made Fresh Every Morning Served With Warm Syrup,$9.49 ,Waffles And French Toast
Chicken Waffles,https://keviniscooking.com/wp-content/uploads/2022/04/Chicken-and-Waffles-Recipe-square.jpg,Classic Homemade Waffle Topped With 0 0 A Fried Chicken,$16.99 ,Waffles And French Toast
Waffle Bowl,https://www.tastesoflizzyt.com/wp-content/uploads/2019/01/french-toast-waffles-recipe-5.jpg,Corned Beef Hash Topped With 0 Over Easy Eggs And Served In A Bowl Lined With Our Homemade Waffle,$14.79 ,Waffles And French Toast
Bacon Waffles,http://www.hormel.com/getattachment/009e4e52-5fee-477a-9992-b7d6bf81eb1f,Our Classic Waffle Stuffed With Bacon Bits,$11.49 ,Waffles And French Toast
Jumbo Challah French Toast,https://www.nyolympicdiner.com/wp-content/uploads/2014/10/stuffed-french-toast-588x392.jpg,Thick Cut House Baked Challah Bread Dipped In A Delicious Batter,$9.49 ,Waffles And French Toast
Old Fashioned French Toast,https://www.allrecipes.com/thmb/YO5jfFDzDchH9fk6hp0waZWR4m4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3314610-ea3348f2ee814de3bd85c2b67075a762.jpg,0 Slices Of White Bread Dipped In A Delicious Batter,$9.49 ,Waffles And French Toast
Deep Fried French Toast Sticks,https://www.smalltownwoman.com/wp-content/uploads/2021/04/French-Toast-Sticks-Recipe-Card.jpg,Our Homemade French Toast Cut Into Sticks Deep Fried And Then Rolled With Cinnamon Sugar,$8.09 ,Waffles And French Toast
Chocolate Banana Pb And J French Toast,https://www.thekitchenmagpie.com/wp-content/uploads/images/2014/08/peanutbutterandjamfrenchtoast12-500x433.jpg,Old Fashioned French Toast Stuffed With Peanut Butter Jelly And Bananas,$12.89 ,Waffles And French Toast
Jalapeno Poppers,https://keviniscooking.com/wp-content/uploads/2021/06/Baked-Jalapeno-Poppers-square.jpg,Stuffed With Cheddar Cheese And Served With Sour Cream,$9.89 ,Appetizers
Zucchini Sticks,https://www.shelovesbiscotti.com/wp-content/uploads/2021/03/Appetizers-Baked-Zucchini-Sticks.jpg,Italian Battered Zucchini Sticks,$8.29 ,Appetizers
Chicken Fingers,https://images-gmi-pmc.edge-generalmills.com/3973d54d-0004-4c06-a9d1-0843f3bf3efa.jpg,Chicken Tenderloins Served With Honey Mustard Add Fries For An Additional Charge,$9.89 ,Appetizers
Corn Fritters,https://www.eatwell101.com/wp-content/uploads/2018/05/Cheesy-Corn-Fritters-3.jpg,Delicious Bites Stuffed With Creamed Corn,$8.99 ,Appetizers
Potato Skins,https://www.smalltownwoman.com/wp-content/uploads/2020/08/Potato-Skins-DSC_1782-II-Recipe-Card.jpg,Stuffed With Your Choice Of Broccoli Or Bacon And Topped With Cheddar Cheese,$8.99 ,Appetizers
Cheese Destruction Fries,https://www.eastbaytimes.com/wp-content/uploads/2018/03/sjm-getfried-030711.jpg?w=525,Layers Of Cheese Everywhere All Of The Cheese,$9.49 ,Appetizers
Stuffed Tomato Take Your Pick Salad,https://www.julieseatsandtreats.com/wp-content/uploads/2016/04/Chicken-Bacon-Ranch-Salad-Stuffed-Tomatoes-Landscape.jpg,Served With Choice Of Salad And Decorated With Cucumbers Olives And Peppers,$13.09 ,Salads
Salad Platter Take Your Pick,"https://assets.bonappetit.com/photos/6282c9214844aec731451f28/16:9/w_4063,h_2285,c_limit/0622-Summer-Goddess-Chicken-Salad.jpg",Your Choice Of Salad Served With Potato Salad Coleslaw Hard Boiled Egg And Garnish,$15.99 ,Salads
Popeye Salad,https://volkermann.files.wordpress.com/2012/07/popeye_salad.jpg,Fresh Spinach Topped With Bacon Bits Hard Boiled Egg Tomatoes Artichokes Mushrooms And Seasoned Croutons Gluten Free Without Croutons,$10.79 ,Crispy Cold Salad
Barbecue Burger,"https://assets.epicurious.com/photos/591c857caef411363f3def9e/16:9/w_2000,h_1125,c_limit/steven-raichlen-barbecue-burger-051517.jpg",Topped With Bbq Sauce Bacon And Fried Onions,$9.59 ,Burgers
Deluxe Barbecue Burger,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/vision-dam/digital/parks-platform/parks-global-assets/disney-springs/DisneySprings_D-LuxeBurger_FULL_StackBurgerBBQ-16x9.jpg?2022-01-05T21:40:48+00:00,Topped With Bbq Sauce Bacon And Fried Onions Served With French Fries,$13.79 ,Burgers
Mexican Burger,https://du7ybees82p4m.cloudfront.net/543fa68f5d9f96.54268207.jpg?width=910&height=512,Topped With Jalapenos And Cheddar,$8.89 ,Burgers
Deluxe Mexican Burger,https://storage.googleapis.com/onmilwaukee-article-images/variants/00i07z5cnocgr8a8s0b72y9ov0lt/ff35c9310a7d5016e76853b0df7d033449d793b6f6dc2e4a0b4bc844add6c385,Topped With Jalapenos And Cheddar Served With French Fries,$13.09 ,Burgers
Pizza Burger,"https://hips.hearstapps.com/thepioneerwoman/wp-content/uploads/2012/09/pizzaburger1.jpg?crop=1xw:0.7517899761336515xh;center,top&resize=640:*",Topped With Mozzarella Cheese And Homemade Marinara Sauce,$8.89 ,Burgers
Deluxe Pizza Burger,https://www.eatthis.com/wp-content/uploads/sites/4/2019/07/pizza-burger.jpg?quality=82&strip=1,Topped With Mozzarella Cheese And Homemade Marinara Sauce Served With French Fries,$13.09 ,Burgers
Cheese Destruction Burger,https://images.squarespace-cdn.com/content/v1/5452d441e4b0c188b51fef1a/1532452138384-F753I90M2IU2XBR3HULX/Grub+Burger+Bar.jpg,Muenster American Cheddar And Mozzarella,$9.99 ,Burgers
Deluxe Cheese Destruction Burger,"https://img.cdn4dd.com/p/fit=cover,width=1200,height=1200,format=auto,quality=50/media/photosV2/3c1d339a-1e60-4bf2-aff1-e4497ae0a853-retina-large.jpeg",Muenster American Cheddar And Mozzarella Served With French Fries,$14.19 ,Burgers
